data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-04,Lar e Recheio,45000.0,66,959.37,14.7,12.56,64110.42
2026-09-04,Lar e Recheio,45000.0,72,900.87,14.4,12.4,65654.64
2026-09-04,Lar e Recheio,45000.0,78,846.8,14.0,12.07,66842.4
2026-09-04,Lar e Recheio,45000.0,84,779.73,12.6,10.95,66289.32
2026-09-04,Lar e Recheio,50000.0,24,2366.12,15.3,12.05,57666.88
2026-09-04,Lar e Recheio,50000.0,30,1957.87,15.3,12.37,59616.1
2026-09-04,Lar e Recheio,50000.0,36,1686.71,15.3,12.58,61601.56
2026-09-04,Lar e Recheio,50000.0,42,1493.96,15.3,12.73,63626.32
2026-09-04,Lar e Recheio,50000.0,48,1350.43,15.3,12.85,65700.64
2026-09-04,Lar e Recheio,50000.0,54,1240.24,15.3,12.97,67852.96
2026-09-04,Lar e Recheio,50000.0,60,1146.73,15.1,12.84,69683.8
2026-09-04,Lar e Recheio,50000.0,66,1065.97,14.7,12.56,71234.02
2026-09-04,Lar e Recheio,50000.0,72,1000.97,14.4,12.4,72949.84
2026-09-04,Lar e Recheio,50000.0,78,940.89,14.0,12.07,74269.42
2026-09-04,Lar e Recheio,50000.0,84,866.36,12.6,10.95,73654.24
2026-09-04,Formação,5000.0,24,223.44,8.9,6.55,5450.56
2026-09-04,Formação,5000.0,30,182.47,8.9,6.86,5562.1
2026-09-04,Formação,5000.0,36,155.22,8.9,7.08,5675.92
2026-09-04,Formação,5000.0,42,135.75,8.9,7.22,5789.5
2026-09-04,Formação,5000.0,48,121.21,8.9,7.34,5906.08
2026-09-04,Formação,5000.0,54,109.92,8.9,7.43,6023.68
2026-09-04,Formação,5000.0,60,100.91,8.9,7.5,6142.6
2026-09-04,Formação,5000.0,66,93.59,8.9,7.57,6264.94
2026-09-04,Formação,5000.0,72,87.46,8.9,7.61,6385.12
2026-09-04,Formação,5000.0,78,82.31,8.9,7.65,6508.18
2026-09-04,Formação,5000.0,84,77.93,8.9,7.69,6634.12
2026-09-04,Formação,10000.0,24,446.88,8.9,6.55,10901.12
2026-09-04,Formação,10000.0,30,364.94,8.9,6.86,11124.2
2026-09-04,Formação,10000.0,36,310.44,8.9,7.08,11351.84
2026-09-04,Formação,10000.0,42,271.5,8.9,7.22,11579.0
