data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-05,Obras,30000.0,60,647.94,12.1,10.3,39404.4
2026-09-05,Obras,30000.0,66,603.46,12.0,10.3,40356.36
2026-09-05,Obras,30000.0,72,561.08,11.6,9.95,40925.76
2026-09-05,Obras,30000.0,78,529.98,11.5,9.95,41866.44
2026-09-05,Obras,30000.0,84,481.76,9.9,8.6,40995.84
2026-09-05,Obras,35000.0,12,3092.05,15.3,10.5,37720.6
2026-09-05,Obras,35000.0,18,2116.85,14.1,10.5,38719.3
2026-09-05,Obras,35000.0,24,1629.97,13.5,10.5,39735.28
2026-09-05,Obras,35000.0,30,1338.42,13.1,10.5,40768.6
2026-09-05,Obras,35000.0,36,1144.53,12.9,10.5,41819.08
2026-09-05,Obras,35000.0,42,1034.5,14.6,12.1,44065.0
2026-09-05,Obras,35000.0,48,931.68,14.4,12.1,45336.64
2026-09-05,Obras,35000.0,54,819.67,12.2,10.3,44878.18
2026-09-05,Obras,35000.0,60,755.93,12.1,10.3,45971.8
2026-09-05,Obras,35000.0,66,704.03,12.0,10.3,47081.98
2026-09-05,Obras,35000.0,72,654.6,11.6,9.95,47747.2
2026-09-05,Obras,35000.0,78,618.31,11.5,9.95,48844.18
2026-09-05,Obras,35000.0,84,562.05,9.9,8.6,47828.2
2026-09-05,Obras,40000.0,12,3533.77,15.3,10.5,43109.24
2026-09-05,Obras,40000.0,18,2419.26,14.1,10.5,44250.68
2026-09-05,Obras,40000.0,24,1862.83,13.5,10.5,45411.92
2026-09-05,Obras,40000.0,30,1529.62,13.1,10.5,46592.6
2026-09-05,Obras,40000.0,36,1308.03,12.9,10.5,47793.08
2026-09-05,Obras,40000.0,42,1182.29,14.6,12.1,50360.18
2026-09-05,Obras,40000.0,48,1064.78,14.4,12.1,51813.44
2026-09-05,Obras,40000.0,54,936.76,12.2,10.3,51289.04
2026-09-05,Obras,40000.0,60,863.92,12.1,10.3,52539.2
2026-09-05,Obras,40000.0,66,804.61,12.0,10.3,53808.26
2026-09-05,Obras,40000.0,72,748.11,11.6,9.95,54567.92
2026-09-05,Obras,40000.0,78,706.65,11.5,9.95,55822.7
2026-09-05,Obras,40000.0,84,642.35,9.9,8.6,54661.4
2026-09-05,Obras,45000.0,12,3975.5,15.3,10.5,48498.0
2026-09-05,Obras,45000.0,18,2721.67,14.1,10.5,49782.06
2026-09-05,Obras,45000.0,24,2095.68,13.5,10.5,51088.32
2026-09-05,Obras,45000.0,30,1720.83,13.1,10.5,52416.9
2026-09-05,Obras,45000.0,36,1471.54,12.9,10.5,53767.44
2026-09-05,Obras,45000.0,42,1330.07,14.6,12.1,56654.94
2026-09-05,Obras,45000.0,48,1197.88,14.4,12.1,58290.24
2026-09-05,Obras,45000.0,54,1053.86,12.2,10.3,57700.44
2026-09-05,Obras,45000.0,60,971.91,12.1,10.3,59106.6
2026-09-05,Obras,45000.0,66,905.18,12.0,10.3,60533.88
2026-09-05,Obras,45000.0,72,841.63,11.6,9.95,61389.36
2026-09-05,Obras,45000.0,78,794.98,11.5,9.95,62800.44
2026-09-05,Obras,45000.0,84,722.64,9.9,8.6,61493.76
2026-09-05,Obras,50000.0,12,4417.22,15.3,10.5,53886.64
2026-09-05,Obras,50000.0,18,3024.08,14.1,10.5,55313.44
2026-09-05,Obras,50000.0,24,2328.54,13.5,10.5,56764.96
2026-09-05,Obras,50000.0,30,1912.03,13.1,10.5,58240.9
2026-09-05,Obras,50000.0,36,1635.04,12.9,10.5,59741.44
2026-09-05,Obras,50000.0,42,1477.86,14.6,12.1,62950.12
2026-09-05,Obras,50000.0,48,1330.98,14.4,12.1,64767.04
2026-09-05,Obras,50000.0,54,1170.95,12.2,10.3,64111.3
2026-09-05,Obras,50000.0,60,1079.9,12.1,10.3,65674.0
2026-09-05,Obras,50000.0,66,1005.76,12.0,10.3,67260.16
2026-09-05,Obras,50000.0,72,935.14,11.6,9.95,68210.08
2026-09-05,Obras,50000.0,78,883.31,11.5,9.95,69778.18
2026-09-05,Obras,50000.0,84,802.93,9.9,8.6,68326.12
2026-09-05,Obras,55000.0,12,4858.94,15.3,10.5,59275.28
2026-09-05,Obras,55000.0,18,3326.49,14.1,10.5,60844.82
2026-09-05,Obras,55000.0,24,2561.39,13.5,10.5,62441.36
2026-09-05,Obras,55000.0,30,2103.23,13.1,10.5,64064.9
2026-09-05,Obras,55000.0,36,1798.55,12.9,10.5,65715.8
2026-09-05,Obras,55000.0,42,1625.65,14.6,12.1,69245.3
2026-09-05,Obras,55000.0,48,1464.07,14.4,12.1,71243.36
2026-09-05,Obras,55000.0,54,1288.05,12.2,10.3,70522.7
2026-09-05,Obras,55000.0,60,1187.89,12.1,10.3,72241.4
2026-09-05,Obras,55000.0,66,1106.34,12.0,10.3,73986.44
2026-09-05,Obras,55000.0,72,1028.66,11.6,9.95,75031.52
2026-09-05,Obras,55000.0,78,971.64,11.5,9.95,76755.92
2026-09-05,Obras,55000.0,84,883.23,9.9,8.6,75159.32
2026-09-05,Obras,60000.0,12,5300.66,15.3,10.5,64663.92
2026-09-05,Obras,60000.0,18,3628.89,14.1,10.5,66376.02
2026-09-05,Obras,60000.0,24,2794.24,13.5,10.5,68117.76
2026-09-05,Obras,60000.0,30,2294.44,13.1,10.5,69889.2
2026-09-05,Obras,60000.0,36,1962.05,12.9,10.5,71689.8
2026-09-05,Obras,60000.0,42,1773.43,14.6,12.1,75540.06
2026-09-05,Obras,60000.0,48,1597.17,14.4,12.1,77720.16
2026-09-05,Obras,60000.0,54,1405.14,12.2,10.3,76933.56
2026-09-05,Obras,60000.0,60,1295.88,12.1,10.3,78808.8
2026-09-05,Obras,60000.0,66,1206.91,12.0,10.3,80712.06
2026-09-05,Obras,60000.0,72,1122.17,11.6,9.95,81852.24
2026-09-05,Obras,60000.0,78,1059.97,11.5,9.95,83733.66
2026-09-05,Obras,60000.0,84,963.52,9.9,8.6,81991.68
2026-09-05,Obras,65000.0,12,5742.38,15.3,10.5,70052.56
2026-09-05,Obras,65000.0,18,3931.3,14.1,10.5,71907.4
2026-09-05,Obras,65000.0,24,3027.1,13.5,10.5,73794.4
2026-09-05,Obras,65000.0,30,2485.64,13.1,10.5,75713.2
2026-09-05,Obras,65000.0,36,2125.55,12.9,10.5,77663.8
2026-09-05,Obras,65000.0,42,1921.22,14.6,12.1,81835.24
2026-09-05,Obras,65000.0,48,1730.27,14.4,12.1,84196.96
2026-09-05,Obras,65000.0,54,1522.24,12.2,10.3,83344.96
2026-09-05,Obras,65000.0,60,1403.88,12.1,10.3,85376.8
2026-09-05,Obras,65000.0,66,1307.49,12.0,10.3,87438.34
2026-09-05,Obras,65000.0,72,1215.68,11.6,9.95,88672.96
2026-09-05,Obras,65000.0,78,1148.3,11.5,9.95,90711.4
2026-09-05,Obras,65000.0,84,1043.81,9.9,8.6,88824.04
2026-09-05,Obras,70000.0,12,6184.1,15.3,10.5,75441.2
2026-09-05,Obras,70000.0,18,4233.71,14.1,10.5,77438.78
2026-09-05,Obras,70000.0,24,3259.95,13.5,10.5,79470.8
2026-09-05,Obras,70000.0,30,2676.84,13.1,10.5,81537.2
2026-09-05,Obras,70000.0,36,2289.06,12.9,10.5,83638.16
2026-09-05,Obras,70000.0,42,2069.0,14.6,12.1,88130.0
2026-09-05,Obras,70000.0,48,1863.37,14.4,12.1,90673.76
2026-09-05,Obras,70000.0,54,1639.33,12.2,10.3,89755.82
2026-09-05,Obras,70000.0,60,1511.87,12.1,10.3,91944.2
2026-09-05,Obras,70000.0,66,1408.06,12.0,10.3,94163.96
2026-09-05,Obras,70000.0,72,1309.2,11.6,9.95,95494.4
2026-09-05,Obras,70000.0,78,1236.63,11.5,9.95,97689.14
2026-09-05,Obras,70000.0,84,1124.11,9.9,8.6,95657.24
2026-09-05,Obras,75000.0,12,6625.83,15.3,10.5,80829.96
2026-09-05,Obras,75000.0,18,4536.12,14.1,10.5,82970.16
2026-09-05,Obras,75000.0,24,3492.8,13.5,10.5,85147.2
2026-09-05,Obras,75000.0,30,2868.05,13.1,10.5,87361.5
2026-09-05,Obras,75000.0,36,2452.56,12.9,10.5,89612.16
2026-09-05,Obras,75000.0,42,2216.79,14.6,12.1,94425.18
2026-09-05,Obras,75000.0,48,1996.46,14.4,12.1,97150.08
2026-09-05,Obras,75000.0,54,1756.43,12.2,10.3,96167.22
2026-09-05,Obras,75000.0,60,1619.86,12.1,10.3,98511.6
2026-09-05,Obras,75000.0,66,1508.64,12.0,10.3,100890.24
2026-09-05,Obras,75000.0,72,1402.71,11.6,9.95,102315.12
2026-09-05,Obras,75000.0,78,1324.96,11.5,9.95,104666.88
2026-09-05,Obras,75000.0,84,1204.4,9.9,8.6,102489.6
2026-09-05,Mobiliário/Decoração,1000.0,12,88.34,15.3,10.5,1077.68
